Global frequency set at 1000000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.0.0.1
gem5 compiled Dec  1 2025 18:50:16
gem5 started Dec  1 2025 21:03:36
gem5 executing on foisat01-vm.mpi-sp.org, pid 1609432
command line: ./build/X86/gem5.opt --debug-flags=AddressTrace configs/my-configs/x86-memory-tracker.py

info: Using default config
Running the simulation
 533000: global: Accessing address 0xc3ca0 from processor.cores0.core.data | Command: WriteReq
 534000: global: Accessing address 0xc3c94 from processor.cores0.core.data | Command: WriteReq
 535000: global: Accessing address 0xc3f20 from processor.cores0.core.data | Command: ReadReq
 548000: global: Accessing address 0x99618 from processor.cores0.core.data | Command: ReadReq
 553000: global: Accessing address 0xc3f28 from processor.cores0.core.data | Command: ReadReq
 556000: global: Accessing address 0xc3ca7 from processor.cores0.core.data | Command: WriteReq
 557000: global: Accessing address 0xc3c98 from processor.cores0.core.data | Command: WriteReq
 559000: global: Accessing address 0xc3f30 from processor.cores0.core.data | Command: ReadReq
 573000: global: Accessing address 0x99630 from processor.cores0.core.data | Command: ReadReq
 578000: global: Accessing address 0xc3f40 from processor.cores0.core.data | Command: ReadReq
 592000: global: Accessing address 0x995f0 from processor.cores0.core.data | Command: ReadReq
 597000: global: Accessing address 0xc3f48 from processor.cores0.core.data | Command: ReadReq
 602000: global: Accessing address 0xc3c70 from processor.cores0.core.data | Command: WriteReq
 603000: global: Accessing address 0xc3f50 from processor.cores0.core.data | Command: ReadReq
 619000: global: Accessing address 0xc0118 from processor.cores0.core.data | Command: WriteReq
 630000: global: Accessing address 0xc2828 from processor.cores0.core.data | Command: WriteReq
 636000: global: Accessing address 0xc2810 from processor.cores0.core.data | Command: WriteReq
 644000: global: Accessing address 0xc2848 from processor.cores0.core.data | Command: WriteReq
 649000: global: Accessing address 0xc3c70 from processor.cores0.core.data | Command: ReadReq
 652000: global: Accessing address 0xc27e8 from processor.cores0.core.data | Command: WriteReq
 655000: global: Accessing address 0xc3ca4 from processor.cores0.core.data | Command: ReadReq
 660000: global: Accessing address 0xc3c78 from processor.cores0.core.data | Command: ReadReq
 662000: global: Accessing address 0xc1d08 from processor.cores0.core.data | Command: WriteReq
 665000: global: Accessing address 0xc3c92 from processor.cores0.core.data | Command: ReadReq
 671000: global: Accessing address 0xc3c93 from processor.cores0.core.data | Command: ReadReq
 679000: global: Accessing address 0xc3ca5 from processor.cores0.core.data | Command: ReadReq
 685000: global: Accessing address 0xc3c88 from processor.cores0.core.data | Command: ReadReq
 687000: global: Accessing address 0xc2830 from processor.cores0.core.data | Command: WriteReq
